;0;"""require""";STRLIT;IDENTIFIER;"""function""";"""(""";""")""";"""end""";""":""";TYPE;""",""";"""global""";"""=""";EXPRESSION;"""local""";"""if""";"""then""";"""else""";"""elseif""";"""while""";"""do""";"""return""";"""for""";"""repeat""";"""until""";$;
T0;;"""require"" STRLIT T1, 1";;;;;;;;;;;;;;;;;;;;;;;;;
T1;;;;IDENTIFIER T4 T1, 5;T2 T1, 3;;;;;;;T3 T1, 4;;;;;;;;;;;;;;ε, 2;
T2;;;;;"""function"" IDENTIFIER ""("" T5 "")"" T6 T7 ""end"", 6";;;;;;;;;;;;;;;;;;;;;;
T3;;;;;;;;;;;;"""global"" IDENTIFIER "":"" T8, 12";;;;;;;;;;;;;;;
T4;;;;;;"""("" T9, 34";;;;;;;;;;;;;;;;;;;;;
T5;;;;T10 T11, 8;;;ε, 7;;;;;;;;;;;;;;;;;;;;
T6;;;;ε, 21;;;;ε, 21;""":"" TYPE T12, 22";;;;;;ε, 21;ε, 21;;;;ε, 21;;ε, 21;ε, 21;ε, 21;;;
T7;;;;T13 T7, 24;;;;ε, 23;;;;;;;T14 T7, 25;T15 T7, 26;;;;T16 T7, 27;;T17 T7, 28;T18 T7, 29;T19 T7, 30;;;
T8;;;;;"""function"" ""("" T20 "")"" T21, 13";;;;;TYPE T22, 14;;;;;;;;;;;;;;;;;
T9;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;
T10;;;;"IDENTIFIER "":"" TYPE, 9";;;;;;;;;;;;;;;;;;;;;;;
T11;;;;;;;ε, 10;;;;""","" T10 T11, 11";;;;;;;;;;;;;;;;
T12;;;;ε, 17;;;;ε, 17;;;""","" TYPE T12, 18";;;;ε, 17;ε, 17;;;;ε, 17;;ε, 17;ε, 17;ε, 17;;;
T13;;;;IDENTIFIER T24, 31;;;;;;;;;;;;;;;;;;;;;;;
T14;;;;;;;;;;;;;;;"""local"" IDENTIFIER "":"" T25, 42";;;;;;;;;;;;
T15;;;;;;;;;;;;;;;;"""if"" EXPRESSION ""then"" T26 T27 T28 ""end"", 43";;;;;;;;;;;
T16;;;;;;;;;;;;;;;;;;;;"""while"" EXPRESSION ""do"" T7 ""end"", 48";;;;;;;
T17;;;;;;;;;;;;;;;;;;;;;;"""return"" T29, 49";;;;;
T18;;;;;;;;;;;;;;;;;;;;;;;"""for"" IDENTIFIER ""="" EXPRESSION "","" EXPRESSION T30 ""do"" T7 ""end"", 50";;;;
T19;;;;;;;;;;;;;;;;;;;;;;;;"""repeat"" T31 ""until"" EXPRESSION, 53";;;
T20;;;;;;;ε, 15;;;TYPE T32, 16;;;;;;;;;;;;;;;;;
T21;;;;ε, 21;ε, 21;;;;""":"" TYPE T33, 22";;;ε, 21;;;;;;;;;;;;;;ε, 21;
T22;;;;ε, 19;ε, 19;;;;;;;ε, 19;"""="" EXPRESSION, 20";;;;;;;;;;;;;ε, 19;
T23;;;;;;;ε, 40;;;;""","" EXPRESSION T23, 41";;;;;;;;;;;;;;;;
T24;;;;;;T34, 32;;;;;T35, 33;;T35, 33;;;;;;;;;;;;;;
T25;;;;;"""function"" ""("" T20 "")"" T6, 13";;;;;TYPE T36, 14;;;;;;;;;;;;;;;;;
T26;;;;T37 T26, 24;;;;ε, 23;;;;;;;T38 T26, 25;T39 T26, 26;;ε, 23;ε, 23;T40 T26, 27;;T41 T26, 28;T42 T26, 29;T43 T26, 30;;;
T27;;;;;;;;ε, 46;;;;;;;;;;ε, 46;"""elseif"" EXPRESSION ""then"" T26 T27, 47";;;;;;;;
T28;;;;;;;;ε, 44;;;;;;;;;;"""else"" T7, 45";;;;;;;;;
T29;;;;ε, 54;;;;ε, 54;;;;;;EXPRESSION T44, 55;ε, 54;ε, 54;;;;ε, 54;;ε, 54;ε, 54;ε, 54;;;
T30;;;;;;;;;;;""","" EXPRESSION, 52";;;;;;;;;;ε, 51;;;;;;
T31;;;;T45 T31, 24;;;;;;;;;;;T46 T31, 25;T47 T31, 26;;;;T48 T31, 27;;T49 T31, 28;T50 T31, 29;T51 T31, 30;ε, 23;;
T32;;;;;;;ε, 17;;;;""","" TYPE T32, 18";;;;;;;;;;;;;;;;
T33;;;;ε, 17;ε, 17;;;;;;""","" TYPE T33, 18";ε, 17;;;;;;;;;;;;;;ε, 17;
T34;;;;;;"""("" T52, 34";;;;;;;;;;;;;;;;;;;;;
T35;;;;;;;;;;;"T53 ""="" EXPRESSION T44, 37";;"T53 ""="" EXPRESSION T44, 37";;;;;;;;;;;;;;
T36;;;;ε, 19;;;;ε, 19;;;;;"""="" EXPRESSION, 20";;ε, 19;ε, 19;;;;ε, 19;;ε, 19;ε, 19;ε, 19;;;
T37;;;;IDENTIFIER T54, 31;;;;;;;;;;;;;;;;;;;;;;;
T38;;;;;;;;;;;;;;;"""local"" IDENTIFIER "":"" T55, 42";;;;;;;;;;;;
T39;;;;;;;;;;;;;;;;"""if"" EXPRESSION ""then"" T26 T27 T28 ""end"", 43";;;;;;;;;;;
T40;;;;;;;;;;;;;;;;;;;;"""while"" EXPRESSION ""do"" T7 ""end"", 48";;;;;;;
